Category,Forum Name,Title,Tags,Ravelry Link/Message,Catbox Link,Date Created
Designer A-F,aegyoknit,ppoppo sweater,,https://www.ravelry.com/patterns/library/ppoppo-sweater,[<Message id=1384059185129586688 channel=<Thread id=1384059185129586688 name='ppoppo sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:04
Designer A-F,aegyoknit,san sweater,,https://www.ravelry.com/patterns/library/san-sweater,[<Message id=1384059186916102145 channel=<Thread id=1384059186916102145 name='san sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:04
Designer A-F,aegyoknit,umma cape,,https://www.ravelry.com/patterns/library/umma-cape,[<Message id=1384059196768518174 channel=<Thread id=1384059196768518174 name='umma cape' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:07
Designer A-F,aegyoknit,Sarang sweater,,https://www.ravelry.com/patterns/library/sarang-sweater,[<Message id=1384059188992278632 channel=<Thread id=1384059188992278632 name='Sarang sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:05
Designer A-F,aegyoknit,seoul blouse,,https://www.ravelry.com/patterns/library/seoul-blouse,[<Message id=1384059190862938112 channel=<Thread id=1384059190862938112 name='seoul blouse' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:05
Designer A-F,aegyoknit,Petra bag,,https://www.ravelry.com/patterns/library/petra-bag,[<Message id=1384058107516424278 channel=<Thread id=1384058107516424278 name='Petra bag' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:47
Designer A-F,aegyoknit,Obba sweater,,https://www.ravelry.com/patterns/library/obba-sweater,[<Message id=1384058105607880735 channel=<Thread id=1384058105607880735 name='Obba sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:46
Designer A-F,aegyoknit,sook moon sweater,,https://www.ravelry.com/patterns/library/sook-moon-sweater,[<Message id=1384059192884858953 channel=<Thread id=1384059192884858953 name='sook moon sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:37:06
Designer A-F,aegyoknit,Nabi Slipover,,https://www.ravelry.com/patterns/library/nabi-slipover,[<Message id=1384058101581221899 channel=<Thread id=1384058101581221899 name='Nabi Slipover' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:45
Designer A-F,aegyoknit,Gujo collar,,https://www.ravelry.com/patterns/library/gujo-collar,[<Message id=1384058067628593173 channel=<Thread id=1384058067628593173 name='Gujo collar' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:37
